product_id,rec_id
756,739
739,756
756,730
730,756
743,737
737,743
737,732
732,737
745,737
737,745
729,737
737,729
733,737
737,733
721,737
737,721
752,737
737,752
753,737
737,753
759,737
737,759
731,737
737,731
737,742
742,737
741,737
737,741
747,737
737,747
735,737
737,735
726,737
737,726
737,722
722,737
737,727
727,737
737,744
744,737
737,748
748,737
739,737
737,739
730,737
737,730
743,732
732,743
743,745
745,743
743,729
729,743
743,733
733,743
743,721
721,743
743,752
752,743
743,753
753,743
759,743
743,759
743,731
731,743
743,742
742,743
743,741
741,743
743,747
747,743
743,735
735,743
743,726
726,743
743,722
722,743
743,727
727,743
743,744
744,743
743,748
748,743
743,739
739,743
743,730
730,743
745,732
732,745
729,732
732,729
733,732
732,733
721,732
732,721
752,732
732,752
753,732
732,753
759,732
732,759
731,732
732,731
732,742
742,732
741,732
732,741
747,732
732,747
735,732
732,735
726,732
732,726
732,722
722,732
732,727
727,732
744,732
732,744
748,732
732,748
739,732
732,739
730,732
732,730
729,745
745,729
733,745
745,733
721,745
745,721
745,752
752,745
745,753
753,745
759,745
745,759
731,745
745,731
745,742
742,745
745,741
741,745
745,747
747,745
745,735
735,745
745,726
726,745
745,722
722,745
745,727
727,745
745,744
744,745
745,748
748,745
745,739
739,745
745,730
730,745
729,733
733,729
721,729
729,721
729,752
752,729
729,753
753,729
759,729
729,759
731,729
729,731
729,742
742,729
729,741
741,729
729,747
747,729
729,735
735,729
729,726
726,729
729,722
722,729
729,727
727,729
729,744
744,729
729,748
748,729
729,739
739,729
729,730
730,729
721,733
733,721
733,752
752,733
759,733
733,759
731,733
733,731
733,742
742,733
733,741
741,733
733,747
747,733
733,735
735,733
733,726
733,722
722,733
733,744
744,733
733,748
748,733
733,739
739,733
733,730
730,733
721,752
752,721
759,721
721,759
721,731
731,721
721,742
742,721
721,747
747,721
721,735
735,721
721,726
726,721
721,727
727,721
721,744
744,721
721,739
739,721
721,730
730,721
753,752
752,753
759,752
752,759
731,752
752,731
752,742
752,741
741,752
752,747
747,752
752,735
735,752
752,726
726,752
752,722
722,752
752,727
727,752
752,744
744,752
752,748
748,752
739,752
752,739
752,730
730,752
759,753
753,759
731,753
753,731
753,742
742,753
753,741
741,753
753,747
747,753
753,735
735,753
753,726
726,753
753,722
722,753
753,727
727,753
753,748
748,753
753,739
739,753
753,730
730,753
759,731
731,759
759,742
742,759
759,741
741,759
759,747
747,759
759,735
759,726
726,759
759,722
722,759
759,727
727,759
759,744
744,759
759,748
748,759
759,739
739,759
759,730
730,759
731,742
742,731
731,741
741,731
731,747
747,731
731,735
735,731
731,726
726,731
731,722
722,731
731,727
727,731
731,744
744,731
731,748
748,731
731,739
739,731
731,730
730,731
741,742
742,741
747,742
742,747
735,742
742,735
726,742
742,726
722,742
742,722
744,742
742,744
748,742
742,748
739,742
742,739
730,742
742,730
747,741
741,747
741,735
735,741
726,741
741,726
741,722
722,741
741,727
727,741
741,744
744,741
739,741
741,739
747,735
735,747
726,747
747,726
747,722
722,747
747,727
727,747
747,744
744,747
747,748
748,747
739,747
747,739
747,730
730,747
735,722
722,735
735,727
727,735
735,744
744,735
735,748
748,735
739,735
735,739
730,735
735,730
726,722
722,726
726,727
727,726
726,744
744,726
726,748
748,726
739,726
726,739
726,730
730,726
744,722
722,744
748,722
722,748
739,722
722,739
730,722
722,730
744,727
727,744
748,727
727,748
739,727
727,739
730,727
727,730
748,744
744,748
739,744
744,739
730,744
744,730
739,748
748,739
730,748
748,730
739,730
730,739
